home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,home_goals,away_goals,Attendance,Venue,Officials,Date,Score,Referee,Notes,Round,Host,Year
Uruguay,Korea Republic,0.0,0.6,,0.0,0.6,,Diego Alonso,Diego Godín,Paulo Bento,Son Heung-min,,,41663,"Education City Stadium, Doha",Clément Turpin (Referee) · Nicolas Danos (AR1) · Cyril Gringore (AR2) · István Kovács (4th) · Jérôme Brisard (VAR),2022-11-24,0–0,Clément Turpin,,Group stage,Qatar,2022
Portugal,Ghana,3.0,2.0,,2.0,0.9,,Fernando Santos,Cristiano Ronaldo,Otto Addo,André Ayew,Cristiano Ronaldo (P) · 65|João Félix · 78|Rafael Leão · 80,André Ayew · 73|Osman Bukari · 89,42662,"Stadium 974, Doha",Ismail Elfath (Referee) · Kyle Atkins (AR1) · Corey Parker (AR2) · Stéphanie Frappart (4th) · Armando Villarreal (VAR),2022-11-24,3–2,Ismail Elfath,,Group stage,Qatar,2022
Brazil,Serbia,2.0,2.4,,0.0,0.2,,Tite,Thiago Silva,Dragan Stojković,Dušan Tadić,Richarlison · 62|Richarlison · 73,,88103,"Lusail Iconic Stadium, Lusail",Alireza Faghani (Referee) · Mohammadreza Mansouri (AR1) · Mohammadreza Abolfazli (AR2) · Maguette Ndiaye (4th) · Abdulla Ali Al Marri (VAR),2022-11-24,2–0,Alireza Faghani,,Group stage,Qatar,2022
Netherlands,Ecuador,1.0,0.1,,1.0,1.7,,Louis van Gaal,Virgil van Dijk,Gustavo Alfaro,Enner Valencia,Cody Gakpo · 6,Enner Valencia · 49,44833,"Khalifa International Stadium, Doha",Mustapha Ghorbal (Referee) · Mokrane Gourari (AR1) · Abdelhak Etchiali (AR2) · Said Martínez (4th) · Shaun Evans (VAR),2022-11-25,1–1,Mustapha Ghorbal,,Group stage,Qatar,2022
Qatar,Senegal,1.0,1.0,,3.0,0.8,,Félix Sánchez,Hassan Al-Haydos,Aliou Cissé,Kalidou Koulibaly,Mohammed Muntari · 78,Boulaye Dia · 41|Famara Diedhiou · 48|Bamba Dieng · 84,41797,"Al Thumama Stadium, ath-Thumāma",Antonio Matéu (Referee) · Pau Cebrián (AR1) · Roberto Díaz (AR2) · Kevin Ortega (4th) · Alejandro Hernández (VAR),2022-11-25,1–3,Antonio Matéu,,Group stage,Qatar,2022
Wales,IR Iran,0.0,0.9,,2.0,1.4,,Rob Page,Gareth Bale,Carlos Queiroz,Ehsan Hajsafi,Wayne Hennessey · 86,Roozbeh Cheshmi · 90+9|Ramin Rezaeian · 90+11,40875,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Mario Escobar (Referee) · Caleb Wales (AR1) · Juan Carlos Mora (AR2) · Maguette Ndiaye (4th) · Drew Fischer (VAR),2022-11-25,0–2,Mario Escobar,,Group stage,Qatar,2022
England,United States,0.0,0.8,,0.0,0.6,,Gareth Southgate,Harry Kane,Gregg Berhalter,Tyler Adams,,,68463,"Al Bayt Stadium, Al Khor",Jesús Valenzuela (Referee) · Jorge Urrego (AR1) · Tulio Moreno (AR2) · Yoshimi Yamashita (4th) · Juan Soto (VAR),2022-11-25,0–0,Jesús Valenzuela,,Group stage,Qatar,2022
Argentina,Mexico,2.0,0.3,,0.0,0.3,,Lionel Scaloni,Lionel Messi,Tata Martino,Andrés Guardado,Lionel Messi · 64|Enzo Fernández · 87,,88966,"Lusail Iconic Stadium, Lusail",Daniele Orsato (Referee) · Ciro Carbone (AR1) · Alessandro Giallatini (AR2) · István Kovács (4th) · Massimiliano Irrati (VAR),2022-11-26,2–0,Daniele Orsato,,Group stage,Qatar,2022
France,Denmark,2.0,2.4,,1.0,0.6,,Didier Deschamps,Hugo Lloris,Kasper Hjulmand,Kasper Schmeichel,Kylian Mbappé · 61|Kylian Mbappé · 86,Andreas Christensen · 68,42860,"Stadium 974, Doha",Szymon Marciniak (Referee) · Paweł Sokolnicki (AR1) · Tomasz Listkiewicz (AR2) · Ma Ning (4th) · Tomasz Kwiatkowski (VAR),2022-11-26,2–1,Szymon Marciniak,,Group stage,Qatar,2022
Poland,Saudi Arabia,2.0,1.6,,0.0,1.7,,Czesław Michniewicz,Robert Lewandowski,Hervé Renard,Salem Al-Dawsari,Piotr Zieliński · 39|Robert Lewandowski · 82,,44259,"Education City Stadium, Doha",Wilton Sampaio (Referee) · Bruno Boschilia (AR1) · Bruno Pires (AR2) · Kevin Ortega (4th) · Drew Fischer (VAR),2022-11-26,2–0,Wilton Sampaio,,Group stage,Qatar,2022
Tunisia,Australia,0.0,0.9,,1.0,0.6,,Jalel Kadri,Youssef Msakni,Graham Arnold,Mathew Ryan,,Mitchell Duke · 23,41823,"Al Janoub Stadium, Al Wakrah",Daniel Siebert (Referee) · Rafael Foltyn (AR1) · Jan Seidel (AR2) · Said Martínez (4th) · Bastian Dankert (VAR),2022-11-26,0–1,Daniel Siebert,,Group stage,Qatar,2022
Spain,Germany,1.0,0.6,,1.0,1.3,,Luis Enrique,Sergio Busquets,Hansi Flick,Manuel Neuer,Álvaro Morata · 62,Niclas Füllkrug · 83,68895,"Al Bayt Stadium, Al Khor",Danny Makkelie (Referee) · Hessel Steegstra (AR1) · Jan de Vries (AR2) · István Kovács (4th) · Pol van Boekel (VAR),2022-11-27,1–1,Danny Makkelie,,Group stage,Qatar,2022
